id|name|dept|salary
1|Peter|1|12000
2|Sam|2|13000
3|Ryan|3|10000
4|Tex|1|20000
5|Luna|1|40000
6|Luna|1|53333
7|Luna|1|68333
8|Luna|1|83333
9|Luna|1|98333
10|Luna|1|113333
11|Luna|1|128333
12|Luna|1|143333
13|Luna|1|158333
14|Luna|1|173333
15|Luna|1|188333
16|Luna|1|203333
17|Luna|1|218333
18|Luna|1|233333
19|Luna|1|248333
20|Luna|1|263333
21|Luna|1|278333
22|Luna|1|293333
23|Luna|1|308333
24|Luna|1|323333
25|Luna|1|338333
26|Luna|1|353333
27|Luna|1|368333
28|Luna|1|383333
29|Luna|1|398333
30|Luna|1|413333
31|Luna|1|428333
32|Luna|1|443333
33|Luna|1|458333
34|Luna|1|473333
35|Luna|1|488333
36|Luna|1|503333
37|Luna|1|518333
38|Luna|1|533333
39|Luna|1|548333
40|Luna|1|563333
41|Luna|1|578333
42|Luna|1|593333
43|Luna|1|608333
44|Luna|1|623333
45|Luna|1|638333
46|Luna|1|653333
47|Luna|1|668333
48|Luna|1|683333
49|Luna|1|698333
50|Luna|1|713333
51|Luna|1|728333
52|Luna|1|743333
53|Luna|1|758333
54|Luna|1|773333
55|Luna|1|788333
56|Luna|1|803333
57|Luna|1|818333
58|Luna|1|833333
59|Luna|1|848333
60|Luna|1|863333
61|Luna|1|878333
62|Luna|1|893333
63|Luna|1|908333
64|JAN|1|923333
65|FEB|1|938333
66|MAR|1|953333
67|APR|1|968333
68|MAY|1|983333
69|JUN|1|998333
70|JUL|1|1013333
71|AUG|1|1028333
72|SEP|1|37003
73|OCT|1|37002
74|NOV|1|37001
75|DEC|1|37000
76|JAN|1|36999
77|FEB|1|36998
78|MAR|1|36997
79|APR|1|36996
80|MAY|1|36995
81|JUN|1|36994
82|JUL|1|36993
83|AUG|1|36992
84|SEP|1|36991
85|OCT|1|36990
86|NOV|1|36989
87|DEC|1|36988
88|JAN|1|36987
89|FEB|1|36986
90|MAR|1|36985
91|APR|1|36984
92|MAY|1|36983
93|JUN|1|36982
94|JUL|1|36981
95|AUG|1|36980
96|SEP|1|36979
97|OCT|1|36978
98|NOV|1|36977
99|DEC|1|36976
100|JAN|1|36975
101|FEB|1|36974
102|MAR|1|36973
103|APR|1|36972
104|MAY|1|36971
105|JUN|1|36970
106|JUL|1|36969
107|AUG|1|36968
108|SEP|1|36967
109|OCT|1|36966
110|NOV|1|36965
111|DEC|1|36964
112|JAN|1|36963
113|FEB|1|36962
114|MAR|1|36961
115|APR|1|36960
116|MAY|1|36959
117|JUN|1|36958
118|JUL|1|36957
119|AUG|1|36956
120|SEP|1|36955
121|OCT|1|36954
122|NOV|1|36953
123|DEC|1|36952
124|JAN|1|36951
125|FEB|1|36950
126|MAR|1|36949
127|APR|1|36948
128|MAY|1|36947
129|JUN|1|36946
130|JUL|1|36945
131|AUG|1|36944
132|SEP|1|36943
133|OCT|1|36942
134|NOV|1|36941
135|DEC|1|36940
136|JAN|1|36939
137|FEB|1|36938
138|MAR|1|36937
139|APR|1|36936
140|MAY|1|36935
141|JUN|1|36934
142|JUL|1|36933
143|AUG|1|36932
144|SEP|1|36931
145|OCT|1|36930
146|NOV|1|36929
147|DEC|1|36928
148|JAN|1|36927
149|FEB|1|36926
150|MAR|1|36925
151|APR|1|36924
152|MAY|1|36923
153|JUN|1|36922
154|JUL|1|36921
155|AUG|1|36920
156|SEP|1|36919
157|OCT|1|36918
158|NOV|1|36917
159|DEC|1|36916
160|JAN|1|36915
161|FEB|1|36914
162|MAR|1|36913
163|APR|1|36912
164|MAY|1|36911
165|JUN|1|36910
166|JUL|1|36909
167|AUG|1|36908
168|SEP|1|36907
169|OCT|1|36906
170|NOV|1|36905
171|DEC|1|36904
172|JAN|1|36903
173|FEB|1|36902
174|MAR|1|36901
175|APR|1|36900
176|MAY|1|36899
177|JUN|1|36898
178|JUL|1|36897
179|AUG|1|36896
180|SEP|1|36895
181|OCT|1|36894
182|NOV|1|36893
183|DEC|1|36892
184|JAN|1|36891
185|FEB|1|36890
186|MAR|1|36889
187|APR|1|36888
188|MAY|1|36887
189|JUN|1|36886
190|JUL|1|36885
191|AUG|1|36884
192|SEP|1|36883
193|OCT|1|36882
194|NOV|1|36881
195|DEC|1|36880
196|JAN|1|36879
197|FEB|1|36878
198|MAR|1|36877
199|APR|1|36876
200|MAY|1|36875
201|JUN|1|36874
202|JUL|1|36873
203|AUG|1|36872
204|SEP|1|36871
205|OCT|1|36870
206|NOV|1|36869
207|DEC|1|36868
208|JAN|1|36867
209|FEB|1|36866
210|MAR|1|36865
211|APR|1|36864
212|MAY|1|36863
213|JUN|1|36862
214|JUL|1|36861
215|AUG|1|36860
216|SEP|1|36859
217|OCT|1|36858
218|NOV|1|36857
219|DEC|1|36856
220|JAN|1|36855
221|FEB|1|36854
222|MAR|1|36853
223|APR|1|36852
224|MAY|1|36851
225|JUN|1|36850
226|JUL|1|36849
227|AUG|1|36848
228|SEP|1|36847
229|OCT|1|36846
230|NOV|1|36845
231|DEC|1|36844
232|JAN|1|36843
233|FEB|1|36842
234|MAR|1|36841
235|APR|1|36840
236|MAY|1|36839
237|JUN|1|36838
238|JUL|1|36837
239|AUG|1|36836
240|SEP|1|36835
241|OCT|1|36834
242|NOV|1|36833
243|DEC|1|36832
244|JAN|1|36831
245|FEB|1|36830
246|MAR|1|36829
247|APR|1|36828
248|MAY|1|36827
249|JUN|1|36826
250|JUL|1|36825
251|AUG|1|36824
252|SEP|1|36823
253|OCT|1|36822
254|NOV|1|36821
255|DEC|1|36820
256|JAN|1|36819
257|FEB|1|36818
258|MAR|1|36817
259|APR|1|36816
260|MAY|2|36815
261|JUN|2|36814
262|JUL|2|36813
263|AUG|2|36812
264|SEP|2|36811
265|OCT|2|36810
266|NOV|2|36809
267|DEC|2|36808
268|JAN|2|36807
269|FEB|2|36806
270|MAR|2|36805
271|APR|2|36804
272|MAY|2|36803
273|JUN|2|36802
274|JUL|2|36801
275|AUG|2|36800
276|SEP|2|36799
277|OCT|2|36798
278|NOV|2|36797
279|DEC|2|36796
280|JAN|2|36795
281|FEB|2|36794
282|MAR|2|36793
283|APR|2|36792
284|MAY|2|36791
285|JUN|2|36790
286|JUL|2|36789
287|AUG|2|36788
288|SEP|2|36787
289|OCT|2|36786
290|NOV|2|36785
291|DEC|2|36784
292|JAN|2|36783
293|FEB|2|36782
294|MAR|2|36781
295|APR|2|36780
296|MAY|2|36779
297|JUN|2|36778
298|JUL|2|36777
299|AUG|2|36776
300|SEP|2|36775
301|OCT|2|36774
302|NOV|2|36773
303|DEC|2|36772
304|JAN|2|36771
305|FEB|2|36770
306|MAR|2|36769
307|APR|2|36768
308|MAY|2|36767
309|JUN|2|36766
310|JUL|2|36765
311|AUG|2|36764
312|SEP|2|36763
313|OCT|2|36762
314|NOV|2|36761
315|DEC|2|36760
316|JAN|2|36759
317|FEB|2|36758
318|MAR|2|36757
319|APR|2|36756
320|MAY|2|36755
321|JUN|2|36754
322|JUL|2|36753
323|AUG|2|36752
324|SEP|2|36751
325|OCT|2|36750
326|NOV|2|36749
327|DEC|2|36748
328|JAN|2|36747
329|FEB|2|36746
330|MAR|2|36745
331|APR|2|36744
332|MAY|2|36743
333|JUN|2|36742
334|JUL|2|36741
335|AUG|2|36740
336|SEP|2|36739
337|OCT|2|36738
338|NOV|2|36737
339|DEC|2|36736
340|JAN|2|36735
341|FEB|2|36734
342|MAR|2|36733
343|APR|2|36732
344|MAY|2|36731
345|JUN|2|36730
346|JUL|2|36729
347|AUG|2|36728
348|SEP|2|36727
349|OCT|2|36726
350|NOV|2|36725
351|DEC|2|36724
352|JAN|2|36723
353|FEB|2|36722
354|MAR|2|36721
355|APR|2|36720
356|MAY|2|36719
357|JUN|2|36718
358|JUL|2|36717
359|AUG|2|36716
360|SEP|2|36715
361|OCT|2|36714
362|NOV|2|36713
363|DEC|2|36712
364|JAN|2|36711
365|FEB|2|36710
366|MAR|2|36709
367|APR|2|36708
368|MAY|2|36707
369|JUN|2|36706
370|JUL|2|36705
371|AUG|2|36704
372|SEP|2|36703
373|OCT|2|36702
374|NOV|2|36701
375|DEC|2|36700
376|JAN|2|36699
377|FEB|2|36698
378|MAR|2|36697
379|APR|2|36696
380|MAY|2|36695
381|JUN|2|36694
382|JUL|2|36693
383|AUG|2|36692
384|SEP|2|36691
385|OCT|2|36690
386|NOV|2|36689
387|DEC|2|36688
388|JAN|2|36687
389|FEB|2|36686
390|MAR|2|36685
391|APR|2|36684
392|MAY|2|36683
393|JUN|2|36682
394|JUL|2|36681
395|AUG|2|36680
396|SEP|2|36679
397|OCT|2|36678
398|NOV|2|36677
399|DEC|2|36676
400|JAN|2|36675
401|FEB|2|36674
402|MAR|2|36673
403|APR|2|36672
404|MAY|2|36671
405|JUN|2|36670
406|JUL|2|36669
407|AUG|2|36668
408|SEP|2|36667
409|OCT|2|36666
410|NOV|2|36665
411|DEC|2|36664
412|JAN|2|36663
413|FEB|2|36662
414|MAR|2|36661
415|APR|2|36660
416|MAY|2|36659
417|JUN|2|36658
418|JUL|2|36657
419|AUG|2|36656
420|SEP|2|36655
421|OCT|2|36654
422|NOV|2|36653
423|DEC|2|36652
424|JAN|2|36651
425|FEB|2|36650
426|MAR|2|36649
427|APR|2|36648
428|MAY|2|36647
429|JUN|2|36646
430|JUL|2|36645
431|AUG|2|36644
432|SEP|2|36643
433|OCT|2|36642
434|NOV|2|36641
435|DEC|2|36640
436|JAN|2|36639
437|FEB|2|36638
438|MAR|2|36637
439|APR|2|36636
